Uniprot_A	Uniprot_B	Alt_A	Alt_B	Gene_A	Gene_B	pmid:method:quality
E9KL35	P29597		7297	E9KL35	TYK2	12960323:0096:LC|12960323:0493:LC|12960323:0492:LC|15240704:0007:LC|15240704:0018:LC|12960323:0004:LC|12960323:0019:LC
E9KL35	Q08499		5144	E9KL35	PDE4D	10329691:0493:LC|10329691:0096:LC|11516626:0018:LC|11516626:0096:LC|11516626:0493:LC|11516626:0492:LC|10329691:0018:LC|10329691:0004:LC|10329691:0492:LC
E9KL35	Q5JVS0		22927	E9KL35	HABP4	16455055:0018:LC|14699138:0019:LC|14699138:0004:LC|14699138:0096:LC|14699138:0492:LC|14699138:0493:LC|14699138:0018:LC
E9PAV3	E9PAV3	4666	4666	NACA	NACA	21203952:0114:LC
E9PAV3	O60356	4666	26471	NACA	NUPR1	19650074:0018:LC|16478804:0018:LC
E9PAV3	P20290	4666	689	NACA	BTF3	21203952:0114:LC|20214399:0114:LC
F1D8N5	F1D8N5			NR3C4	NR3C4	15062556:0492:LC|15305378:0018:LC|9417052:0018:LC|9111344:0493:LC|9111344:0018:LC|9111344:0492:LC|9417052:0492:LC|15062556:0493:LC|9417052:0493:LC|15305378:0493:LC|15305378:0492:LC|14966121:0493:LC|15062556:0018:LC|14966121:0492:LC|14966121:0018:LC
F1D8N5	O75376		9611	NR3C4	NCOR1	12089345:0493:LC|12089345:0492:LC|15598662:0493:LC|15598662:0492:LC|15598662:0018:LC|12089345:0018:LC
F1D8N5	O75928		9063	NR3C4	PIAS2	9920921:0493:LC|12177000:0018:LC|11117529:0018:LC|11117529:0492:LC|11117529:0493:LC|12177000:0493:LC|12177000:0492:LC|9920921:0018:LC|9920921:0492:LC
F1D8N5	P05412		3725	NR3C4	JUN	9211894:0018:LC|8798722:0493:LC|8798722:0492:LC|8798722:0018:LC|9211894:0492:LC|9211894:0493:LC
F1D8N5	P06493		983	NR3C4	CDK1	9725910:0493:LC|9725910:0492:LC|12569365:0018:LC|12569365:0492:LC|12569365:0493:LC|9725910:0018:LC
F1D8N5	P12931		6714	NR3C4	SRC	15062576:0018:LC|15027889:0018:LC
F1D8N5	P35222		1499	NR3C4	CTNNB1	12944908:0492:LC|12799378:0018:LC|12944908:0493:LC|12588987:0018:LC|11916967:0018:LC|11916967:0493:LC|12588987:0493:LC|11916967:0492:LC|12588987:0492:LC|12944908:0018:LC|12799378:0493:LC|12799378:0492:LC
F1D8N5	P63279		7329	NR3C4	UBE2I	10383460:0018:LC|8798622:0018:LC|10383460:0492:LC|8798622:0492:LC
F1D8N5	P78317		6047	NR3C4	RNF4	9710597:0018:LC|10617653:0493:LC|11719514:0492:LC|11719514:0493:LC|10617653:0018:LC|11719514:0018:LC|9710597:0492:LC|9710597:0493:LC|10617653:0492:LC
F1D8N5	Q13772		8031	NR3C4	NCOA4	15563469:0493:LC|15563469:0492:LC|12068007:0493:LC|9636157:0492:LC|11818501:0018:LC|12068007:0492:LC|9892017:0018:LC|8643607:0018:LC|8643607:0492:LC|11818501:0493:LC|10517667:0492:LC|8643607:0493:LC|9892017:0492:LC|10517667:0493:LC|9636157:0493:LC|9892017:0493:LC|15563469:0018:LC|9636157:0018:LC|11818501:0492:LC|10517667:0018:LC|12068007:0018:LC
F1D8N5	Q15596		10499	NR3C4	NCOA2	9717843:0018:LC|15563469:0018:LC|12588987:0018:LC|15563469:0492:LC|12588987:0493:LC|15563469:0493:LC|12588987:0492:LC|9717843:0493:LC|9717843:0492:LC
F1D8N5	Q92993		10524	NR3C4	KAT5	10364196:0018:LC|10364196:0493:LC|11994312:0493:LC|10364196:0492:LC|11994312:0492:LC|11994312:0018:LC
F1D8N5	Q9BQG0		10514	NR3C4	MYBBP1A	10607837:0492:LC|10607837:0018:LC|11779876:0018:LC|11779876:0492:LC
F1D8N5	Q9UER7		1616	NR3C4	DAXX	15350595:0492:LC|15350595:0493:LC|15572661:0492:LC|15572661:0493:LC|15572661:0018:LC|15350595:0018:LC
F1D8N5	Q9Y618		9612	NR3C4	NCOR2	15062576:0493:LC|15062576:0492:LC|11923464:0493:LC|11923464:0492:LC|11923464:0018:LC|15062576:0018:LC
F1D8N5	Q9Y6Q9		8202	NR3C4	NCOA3	15563469:0018:LC|10965917:0018:LC|15563469:0492:LC|10965917:0492:LC
F1D8N7	F1D8Q5			NR1A2	NR2B1	9415406:0047:LC|7746322:0018:LC|15604093:0018:HT|19211732:0018:LC|7746322:0492:LC|15604093:0492:HT
F1D8N7	O75376		9611	NR1A2	NCOR1	12799135:0492:LC|15336696:0492:LC|12799135:0018:LC|15336696:0018:LC|19211732:0018:LC|16464943:0492:LC|16464943:0018:LC|15336696:0096:LC
F1D8N7	P48443		6258	NR1A2	RXRG	9794455:0493:LC|9794455:0018:LC|15604093:0493:HT|15604093:0018:HT
F1D8N7	P61201		9318	NR1A2	COPS2	10713076:0018:LC|7776974:0018:LC|10207062:0493:LC|10207062:0492:LC|10207062:0025:LC|10207062:0018:LC|7776974:0493:LC|7776974:0492:LC
F1D8N7	P62195		5705	NR1A2	PSMC5	7870181:0493:LC|15604093:0018:HT|7870181:0018:LC
F1D8N7	Q13347		8668	NR1A2	EIF3I	9368056:0018:LC|15604093:0018:HT
F1D8N7	Q14686		23054	NR1A2	NCOA6	10866662:0018:LC|10567404:0018:LC|10823961:0018:LC
F1D8N7	Q15596		10499	NR1A2	NCOA2	10454563:0004:LC|10454563:0018:LC|10454563:0045:LC|11518802:0018:LC
F1D8N7	Q9Y618		9612	NR1A2	NCOR2	9415406:0047:LC|9878542:0018:LC|19211732:0018:LC|11518802:0018:LC
F1D8N7	Q9Y6Q9		8202	NR1A2	NCOA3	9346901:0413:LC|9346901:0096:LC|15604093:0018:HT|9346901:0004:LC|9346901:0047:LC
F1D8P1	F1D8Q5			NR1B3	NR2B1	9083083:0018:LC|9083083:0492:LC|15604093:0018:HT|15604093:0492:HT
F1D8P1	P48443		6258	NR1B3	RXRG	1310259:0493:LC|1310259:0492:LC|15604093:0493:HT|15604093:0018:HT|15604093:0492:HT|1310259:0018:LC
F1D8P1	Q9Y618		9612	NR1B3	NCOR2	12665583:0493:LC|12665583:0492:LC|15604093:0493:HT|15604093:0018:HT|15604093:0492:HT|12665583:0018:LC
F1D8P1	Q9Y6Q9		8202	NR1B3	NCOA3	12665583:0493:LC|12665583:0492:LC|15604093:0493:HT|15604093:0018:HT|15604093:0492:HT|16456540:0492:LC|12665583:0018:LC|16456540:0493:LC|16456540:0018:LC
F1D8P8	F1D8Q5			NR1I1	NR2B1	12796488:0018:LC|15604093:0493:HT|15604093:0018:HT|15604093:0492:HT|12796488:0492:LC|21478865:0096:LC|12796488:0493:LC|21988832:0018:HT|21478865:0071:LC|21478865:0028:LC|21478865:0826:LC
F1D8P8	P30281		896	NR1I1	CCND3	16105657:0492:LC|16105657:0493:LC|16105657:0018:LC|21988832:0018:HT
F1D8P8	P48443		6258	NR1I1	RXRG	15919723:0018:LC|15604093:0018:HT
F1D8P8	P62195		5705	NR1I1	PSMC5	14702340:0493:LC|15604093:0018:HT|14702340:0018:LC
F1D8P8	Q13573		22938	NR1I1	SNW1	9632709:0096:LC|9632709:0047:LC|9632709:0018:LC|12529369:0492:LC|12529369:0493:LC|9632709:0492:LC|9632709:0493:LC|12529369:0018:LC
F1D8P8	Q15596		10499	NR1I1	NCOA2	12796488:0018:LC|12612084:0493:LC|12612084:0492:LC|9920895:0018:LC|12796488:0492:LC|12612084:0018:LC|12796488:0493:LC|12089346:0492:LC|12089346:0493:LC|12089346:0018:LC
F1D8Q5	F1D8Q5			NR2B1	NR2B1	10835357:0114:LC|10669605:0114:LC|10882139:0114:LC|15610735:0114:LC
F1D8Q5	O75469		8856	NR2B1	NR1I2	9489701:0018:LC|9489701:0492:LC|15604093:0018:HT|15604093:0492:HT|9727070:0018:LC|9727070:0024:LC|9727070:0492:LC
F1D8Q5	P10276		5914	NR2B1	RARA	21478865:0096:LC|21478865:0826:LC|17641689:0018:LC|21478865:0888:LC|10698945:0024:LC|10698945:0114:LC|21478865:0028:LC|10882070:0114:LC|15528208:0114:LC|15604093:0018:HT|10698945:0018:LC|21988832:0018:HT|10882070:0018:LC|9415406:0047:LC|1310351:0018:LC|21478865:0071:LC
F1D8Q5	P10827		7067	NR2B1	THRA	1331778:0018:LC|15604093:0018:HT|1331778:0492:LC|15604093:0492:HT
F1D8Q5	P11473		7421	NR2B1	VDR	9632709:0096:LC|9632709:0018:LC|15604093:0018:HT|10037600:0096:LC|10037600:0018:LC
F1D8Q5	P24522		1647	NR2B1	GADD45A	10872826:0018:LC|10872826:0492:LC|10872826:0024:LC|10872826:0004:LC|21900206:0018:HT
F1D8Q5	P27361		5595	NR2B1	MAPK3	10383391:0423:LC|20371703:0415:LC
F1D8Q5	P37231		5468	NR2B1	PPARG	12966085:0492:LC|10854698:0492:LC|12966085:0018:LC|7838715:0018:LC|21478865:0096:LC|11698662:0114:LC|16504037:0492:LC|10854698:0096:LC|16504037:0018:LC|10882139:0114:LC|15056000:0114:LC|7838715:0492:LC|10854698:0018:LC|7838715:0024:LC|21478865:0071:LC|21478865:0826:LC|10882139:0492:LC|10882139:0018:LC|7838715:0401:LC
F1D8Q5	P43354		4929	NR2B1	NR4A2	7705655:0018:LC|7758108:0018:LC|15604093:0493:HT|15604093:0018:HT|15604093:0492:HT|7758108:0492:LC|7758108:0493:LC|7705655:0493:LC|7705655:0492:LC
F1D8Q5	P55055		7376	NR2B1	NR1H2	7760852:0096:LC|7760852:0493:LC|7760852:0492:LC|15604093:0493:HT|15604093:0018:HT|15604093:0492:HT|7760852:0018:LC
F1D8Q5	Q13133		10062	NR2B1	NR1H3	12117567:0493:LC|9013544:0493:LC|15604093:0493:HT|15604093:0018:HT|9013544:0018:LC|12117567:0018:LC
F1D8Q5	Q14686		23054	NR2B1	NCOA6	10567404:0018:LC|11158331:0493:LC|10866662:0018:LC|10866662:0493:LC|10866662:0096:LC|11158331:0018:LC|10567404:0096:LC
F1D8Q5	Q14994		9970	NR2B1	NR1I3	15610735:0114:LC|15610733:0114:LC
F1D8Q5	Q15466		8431	NR2B1	NR0B2	10594021:0024:LC|21988832:0018:HT|10594021:0018:LC
F1D8Q5	Q15596		10499	NR2B1	NCOA2	9920895:0018:LC|17947383:0114:LC|17947383:0018:LC
F1D8Q5	Q15653		4793	NR2B1	NFKBIB	7776974:0018:LC|9452433:0018:LC|9452433:0492:LC|9452433:0096:LC|7776974:0492:LC|7776974:0024:LC
F1D8Q5	Q15788		8648	NR2B1	NCOA1	17673910:0107:LC|10935544:0018:LC|15604093:0018:HT|10935544:0047:LC
F1D8Q5	Q96RI1		9971	NR2B1	NR1H4	7760852:0096:LC|7760852:0492:LC|14592980:0114:LC|7760852:0018:LC
F1D8Q5	Q9Y618		9612	NR2B1	NCOR2	12665583:0493:LC|12665583:0492:LC|9878542:0018:LC|15604093:0493:HT|15604093:0018:HT|15604093:0492:HT|12665583:0018:LC|9415406:0018:LC
F1D8Q7	P11473		7421	NR2B3	VDR	15919723:0018:LC|15604093:0018:HT
F1D8R5	Q9UBK2		10891	NR3B3	PPARGC1A	19171140:0107:LC|19914244:0107:LC
F1D8S4	O75376		9611	NR1C1	NCOR1	10336495:0096:LC|18292238:0018:LC|10336495:0018:LC|10336495:0024:LC
F1D8S4	Q09472		2033	NR1C1	EP300	10336495:0018:LC|10336495:0096:LC|9407140:0018:LC
F1D8S4	Q15788		8648	NR1C1	NCOA1	9407140:0018:LC|10731636:0018:LC
F1D8T1	Q14686		23054	NR2A1	NCOA6	21292004:0018:LC|21292004:0096:LC|15604093:0018:HT
F1D8T1	Q15466		8431	NR2A1	NR0B2	10594021:0096:LC|15604093:0018:HT|10594021:0018:LC
F1D8T1	Q92793		1387	NR2A1	CREBBP	10882110:0096:LC|9434765:0004:LC|9434765:0018:LC|10882110:0415:LC|9434765:0096:LC
F5CTF3	F5CTF3			F5CTF3	F5CTF3	12808445:0114:LC|21900206:0018:HT
H9NIM3	P49116		7182	H9NIM3	NR2C2	12093744:0018:LC|9737983:0018:LC|9737983:0492:LC|9737983:0493:LC|12093744:0493:LC|12093744:0492:LC
O00124	V9HW80	7993		UBXN8	HEL-S-70	21949850:0018:LC|25078495:0018:LC|21949850:0004:LC
O00141	O15530	6446	5170	SGK1	PDPK1	10357815:0096:LC|10191262:0493:LC|17314099:0424:LC|10191262:0492:LC|17916563:0415:LC|10357815:0024:LC|10357815:0493:LC|10357815:0492:LC
O00141	P10636	6446	4137	SGK1	MAPT	15650334:0415:LC|17512525:0415:LC|17512525:0424:LC
O00141	P15056	6446	673	SGK1	BRAF	11410590:0492:LC|10869359:0492:LC|11410590:0493:LC|10869359:0493:LC
O00141	P46934	6446	4734	SGK1	NEDD4	11696533:0492:LC|11696533:0024:LC|11696533:0096:LC|19953087:0415:HT
O00141	Q15599	6446	9351	SGK1	SLC9A3R2	12387817:0096:LC|11751930:0096:LC|11751930:0024:LC|12387817:0415:LC|11751930:0492:LC|11751930:0493:LC|12387817:0492:LC|12387817:0493:LC|11751930:0004:LC
O00141	Q96PU5	6446	23327	SGK1	NEDD4L	20525693:0415:LC|12729930:0024:LC|12911626:0492:LC|12729930:0492:LC|16006511:0415:LC|19917253:0415:LC|11742982:0492:LC|16716084:0415:LC
O00141	Q9HC98	6446	10783	SGK1	NEK6	10191262:0492:LC|12023960:0492:LC
O00148	P82979	10212	84324	DDX39A	SARNP	16189514:0398:HT|25416956:1112:HT|21516116:0018:HT|15338056:0004:LC|15338056:0018:LC|25416956:0397:HT|25416956:0018:HT|16189514:0018:HT|25416956:1356:HT|15338056:0493:LC|15338056:0096:LC|15338056:0492:LC
O00151	O43707	9124	81	PDLIM1	ACTN4	16189514:0398:HT|10753915:0096:LC|16189514:0018:HT|10753915:0004:LC|10753915:0492:LC|10753915:0493:LC|10753915:0024:LC|10753915:0019:LC
O00151	P12814	9124	87	PDLIM1	ACTN1	11110697:0493:LC|11973348:0493:LC|11110697:0492:LC|10753915:0096:LC|11973348:0492:LC|11110697:0004:LC|10753915:0004:LC|11110697:0018:LC|10753915:0019:LC|11973348:0018:LC
O00159	O00159	4641	4641	MYO1C	MYO1C	24636949:0114:LC
O00159	P62158	4641		MYO1C	CALM1|CALM2|CALM3	24636949:0114:LC
O00161	O00161	8773	8773	SNAP23	SNAP23	25416956:0397:HT|12556468:0492:LC|25416956:0018:HT
O00161	O75558	8773	8676	SNAP23	STX11	10036234:0492:LC|16189514:0398:HT|10036234:0018:LC|25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|10036234:0096:LC|25416956:1356:HT|16189514:0004:HT|21900206:0018:HT|16189514:0018:HT|10036234:0004:LC|10036234:0493:LC
O00161	O95295	8773	23557	SNAP23	SNAPIN	12877659:0004:LC|12877659:0492:LC|15635093:0004:LC|12877659:0096:LC|12877659:0018:LC|15635093:0405:LC|12877659:0493:LC
O00161	P32856	8773	2054	SNAP23	STX2	9168999:0018:LC|12828989:0018:LC|10648404:0019:LC|12828989:0004:LC
O00161	Q12846	8773	6810	SNAP23	STX4	9815132:0493:LC|9815132:0018:LC|10961877:0019:LC|9168999:0004:LC|12828989:0018:LC|9168999:0493:LC|9168999:0492:LC|9815132:0492:LC|12828989:0004:LC|9168999:0018:LC
O00161	Q13277	8773	6809	SNAP23	STX3	12828989:0492:LC|9168999:0018:LC|9701566:0492:LC|12828989:0493:LC|9701566:0493:LC|9701566:0018:LC|12828989:0018:LC|26359495:0018:LC|12828989:0004:LC
O00161	Q16623	8773	6804	SNAP23	STX1A	12209004:0492:LC|9168999:0018:LC|12209004:0096:LC|12209004:0493:LC|12651853:0492:LC|12651853:0493:LC|12209004:0019:LC|24722188:0018:LC|26359495:0018:LC|12651853:0096:LC
O00161	Q53YE2	8773		SNAP23	STX3A	12828989:0492:LC|9168999:0018:LC|9701566:0492:LC|12828989:0493:LC|9701566:0493:LC|9701566:0018:LC|12828989:0018:LC|12828989:0004:LC
O00161	Q9BV40	8773	8673	SNAP23	VAMP8	12828989:0492:LC|10820264:0004:LC|12130530:0493:LC|10820264:0018:LC|12828989:0493:LC|12130530:0018:LC|10820264:0492:LC|10820264:0493:LC|12828989:0018:LC|12130530:0492:LC|12828989:0004:LC
O00165	P01583	10456	3552	HAX1	IL1A	11554782:0096:LC|11554782:0007:LC|11554782:0018:LC|11554782:0019:LC|16971486:0006:LC|25416956:0231:HT|11554782:0492:LC|16971486:0655:LC|11554782:0004:LC|11554782:0047:LC|11554782:0493:LC
O00167	O00167	2139	2139	EYA2	EYA2	PDB_3GEB:0114:LC|19858093:0114:LC
O00167	Q15475	2139	6495	EYA2	SIX1	10906137:0024:LC|21516116:0018:HT|23435380:0071:LC|19497856:0071:LC|23435380:0114:LC|10906137:0018:LC
O00170	O00170	9049	9049	AIP	AIP	23300914:0114:LC
O00170	P07900	9049	3320	AIP	HSP90AA1	23300914:0114:LC
O00170	P35869	9049	196	AIP	AHR	9837941:0018:LC|9111057:0096:LC|12065584:0492:LC|7961671:0492:LC|9111057:0492:LC|9083006:0018:LC|7961671:0018:LC|16257957:0007:LC|9083006:0004:LC|7961671:0493:LC|9083006:0492:LC|9837941:0096:LC|9083006:0493:LC|10986286:0004:LC|9837941:0492:LC|10986286:0492:LC|9111057:0018:LC|12065584:0004:LC|12065584:0018:LC|9083006:0096:LC|16257957:0416:LC|10986286:0018:LC|9837941:0493:LC|16582008:0018:LC|10986286:0493:LC|12065584:0493:LC|9111057:0493:LC
O00170	Q15185	9049	10728	AIP	PTGES3	11013261:0492:LC|11259606:0492:LC|11013261:0493:LC|11013261:0096:LC|11259606:0493:LC
O00170	Q15388	9049	9804	AIP	TOMM20	23300914:0114:LC|14557246:0018:LC|14557246:0492:LC
O00180	O00180	3775	3775	KCNK1	KCNK1	20498050:0055:LC|8978667:0096:LC|22282804:0114:LC|8978667:0492:LC
O00180	P63279	3775	7329	KCNK1	UBE2I	15820677:0018:LC|20498050:0055:LC
O00182	O00182	3965	3965	LGALS9	LGALS9	PDB_3WV6:0114:LC|18977853:0114:LC|18005988:0114:LC|24631362:0114:LC|17223646:0107:LC
O00186	Q12846	6814	6810	STXBP3	STX4	12832401:0018:LC|10194441:0492:LC
O00187	O00187	10747	10747	MASP2	MASP2	15117939:0114:LC|15117939:0492:LC|22511776:0114:LC
O00189	P05067	9179	351	AP4M1	APP	20230749:0114:LC|24498434:0114:LC
O00194	O00194	5874	5874	RAB27B	RAB27B	18940604:0114:LC|PDB_2F7S:0114:LC
O00194	Q9BV36	5874	79083	RAB27B	MLPH	11980908:0018:LC|11856727:0493:LC
O00198	P10415	8739	596	HRK	BCL2	9130713:0018:LC|10075695:0493:LC|15694340:0405:LC|15694340:0686:LC|9130713:0024:LC|9130713:0019:LC|10075695:0018:LC|9130713:0493:LC|9130713:0004:LC
O00198	Q07817	8739	598	HRK	BCL2L1	16697956:0492:LC|10075695:0492:LC|15031724:0018:LC|14596824:0492:LC|16697956:0053:LC|15721256:0686:LC|9130713:0024:LC|9130713:0493:LC|14596824:0099:LC|15694340:0405:LC|14596824:0055:LC|9130713:0492:LC|10075695:0004:LC|15721256:0107:LC|9130713:0004:LC|9130713:0018:LC|15694340:0107:LC|9130713:0019:LC|10075695:0493:LC|16697956:0493:LC|14596824:0493:LC|16697956:0686:LC
O00206	O00206	7099	7099	TLR4	TLR4	23055527:0114:LC|22139835:0231:LC|19252480:0114:LC|17803912:0114:LC
O00206	P58753	7099	114609	TLR4	TIRAP	20048342:0090:LC|17258210:0090:LC|22139835:0231:LC|17258210:0007:LC|17258210:0004:LC|17258210:0231:LC|18221795:0090:LC|19717524:0018:LC|19717524:0004:LC
O00206	Q86XR7	7099	353376	TLR4	TICAM2	14556004:0492:LC|14556004:0493:LC|14517278:0018:LC|17258210:0090:LC|18221795:0090:LC|17258210:0231:LC|22139835:0231:LC|14556004:0018:LC|14517278:0492:LC|14519765:0493:LC|14517278:0493:LC|14519765:0492:LC|14519765:0018:LC
O00206	Q99836	7099	4615	TLR4	MYD88	15107846:0018:LC|10952994:0493:LC|11743586:0493:LC|10952994:0004:LC|20048342:0090:LC|11743586:0024:LC|18221795:0090:LC|19717524:0018:LC|19717524:0004:LC
O00206	Q9Y6Y9	7099	23643	TLR4	LY96	10359581:0493:LC|15557191:0892:LC|17803912:0071:LC|17803912:0030:LC|20547845:0107:LC|15557191:0107:LC|22433852:0077:LC|10359581:0007:LC|11976338:0007:LC|11976338:0493:LC|22532668:0826:LC|17803912:0114:LC|11976338:0004:LC|23055527:0114:LC|10359581:0019:LC|10359581:0004:LC|10359581:0686:LC|19252480:0071:LC|19252480:0114:LC|10359581:0024:LC
O00213	O00213	322	322	APBB1	APBB1	18833287:0114:LC|18550529:0114:LC|9407065:0493:LC|9407065:0492:LC
O00213	O94985	322	22883	APBB1	CLSTN1	17332754:0493:LC|17332754:0007:LC|15037614:0493:LC
O00213	P05067	322	351	APBB1	APP	8955346:0492:LC|9799084:0492:LC|11517249:0493:LC|9045663:0018:LC|11085987:0493:LC|8887653:0493:LC|9837937:0018:LC|8887653:0096:LC|9799084:0018:LC|9461550:0018:LC|20205790:0090:LC|8887653:0004:LC|11085987:0492:LC|9045663:0492:LC|8887653:0006:LC|8887653:0007:LC|15044485:0018:LC|21968187:0096:LC|15044485:0004:LC|9799084:0024:LC|9837937:0493:LC|8887653:0018:LC|11085987:0018:LC|9045663:0493:LC|11517249:0018:LC|18833287:0114:LC|9837937:0492:LC|8955346:0493:LC|9799084:0493:LC|9837937:0096:LC|11517249:0492:LC|21968187:0077:LC|8955346:0018:LC|8887653:0492:LC|9045663:0096:LC
O00213	Q06481	322	334	APBB1	APLP2	9461550:0018:LC|8894693:0492:LC|9461550:0492:LC
O00213	Q07954	322	4035	APBB1	LRP1	9837937:0492:LC|9837937:0024:LC|9837937:0096:LC|21968187:0077:LC|9837937:0018:LC|21968187:0096:LC
O00213	Q8N8S7	322	55740	APBB1	ENAH	16055720:0096:LC|17686488:0114:LC|16055720:0004:LC|9407065:0493:LC|16055720:0024:LC|16055720:0493:LC
O00213	Q92993	322	10524	APBB1	KAT5	11441186:0492:LC|16223726:0018:LC|11441186:0018:LC|16223726:0004:LC|15044485:0018:LC|14699153:0018:LC
O00214	O00214	3964	3964	LGALS8	LGALS8	22913484:0114:LC|PDB_3OJB:0114:LC|21288902:0114:LC|PDB_3APB:0114:LC|23511477:0114:LC|24418318:0114:LC
O00214	Q13137	3964	10241	LGALS8	CALCOCO2	16189514:0398:HT|23386746:0114:LC|25416956:1112:HT|25416956:0397:HT|25416956:0018:HT|16189514:0018:HT|23511477:0114:LC|23511477:0686:LC|23511477:0096:LC|25416956:1356:HT
O00220	P50591	8797	8743	TNFRSF10A	TNFSF10	9082980:0492:LC|9325248:0493:LC|9082980:0493:LC|9325248:0492:LC|9082980:0004:LC|20103630:0107:LC|10549288:0493:LC|10549288:0492:LC
O00220	Q13158	8797	8772	TNFRSF10A	FADD	15452120:0007:LC|15452120:0018:LC|9430227:0493:LC|10894160:0024:LC|10894160:0019:LC|9430227:0004:LC
O00220	Q14790	8797	841	TNFRSF10A	CASP8	12218097:0024:LC|19343040:0415:LC|12218097:0493:LC|19343040:0004:LC
O00220	Q7Z2I8	8797		TNFRSF10A	DKFZP686A24188	16319225:0492:LC|9430228:0492:LC
O00221	Q04206	4794	5970	NFKBIE	RELA	21988832:0397:HT|9315679:0096:LC|9315679:0493:LC|9315679:0007:LC|9315679:0018:LC|9315679:0004:LC|9315679:0492:LC|21988832:0018:HT
O00230	P31391	1325	6754	CORT	SSTR4	9205124:0493:LC|9125122:0493:LC|9125122:0686:LC|9205124:0024:LC
O00230	P32745	1325	6753	CORT	SSTR3	9205124:0493:LC|9125122:0493:LC|9125122:0686:LC|9205124:0024:LC
O00230	P35346	1325	6755	CORT	SSTR5	9205124:0493:LC|9125122:0493:LC|9125122:0024:LC|9125122:0686:LC
O00230	Q86SW9	1325		CORT	Q86SW9	9205124:0493:LC|9125122:0493:LC|9125122:0686:LC
O00237	P61088	7844	7334	RNF103	UBE2N	16215985:0018:LC|19690564:0397:HT|19690564:0018:HT
O00237	Q96LR5	7844	7325	RNF103	UBE2E2	25224329:0018:LC|18615712:0018:LC
O00237	V9HW41	7844		RNF103	HEL-S-71	16215985:0018:LC|18615712:0018:LC|19690564:0018:HT
O00238	O00238	658	658	BMPR1B	BMPR1B	PDB_3MDY:0114:LC|7811286:0493:LC|10712517:0493:LC|10712517:0004:LC
O00238	P12643	658	650	BMPR1B	BMP2	7811286:0493:LC|7811286:0492:LC|15064755:0492:LC|15064755:0493:LC|19229295:0107:LC|9872992:0492:LC|9872992:0493:LC
O00238	P12644	658	652	BMPR1B	BMP4	7811286:0492:LC|11282024:0492:LC|8702914:0492:LC
O00238	P22004	658	654	BMPR1B	BMP6	11401330:0493:LC|10504300:0493:LC
O00238	P36897	658	7046	BMPR1B	TGFBR1	11420127:0493:LC|15761153:0019:HT
O00238	P43026	658	8200	BMPR1B	GDF5	16127465:0107:LC|11282024:0024:LC|19229295:0114:LC|11282024:0492:LC|19229295:0107:LC
O00238	P62942	658	2280	BMPR1B	FKBP1A	PDB_3MDY:0114:LC|15761153:0019:HT
O00238	Q13873	658	659	BMPR1B	BMPR2	10712517:0024:LC|10712517:0493:LC|10712517:0428:LC|15761153:0019:HT|10712517:0004:LC
O00244	O00244	475	475	ATOX1	ATOX1	PDB_4QOT:0114:LC|10966647:0114:LC|19807176:0114:LC|10966647:0492:LC|26327386:0114:LC
O00244	P35670	475	540	ATOX1	ATP7B	12763797:0493:LC|10557326:0025:LC|10557326:0492:LC|10497213:0492:LC|10557326:0493:LC|10557326:0096:LC|10497213:0493:LC|10497213:0018:LC|10557326:0018:LC|12763797:0492:LC|16573520:0018:LC|10557326:0019:LC|12763797:0018:LC|10497213:0096:LC|10557326:0004:LC|10557326:0686:LC
O00244	Q04656	475	538	ATOX1	ATP7A	10497213:0024:LC|10557326:0493:LC|10497213:0493:LC|12679332:0018:LC|10497213:0018:LC|10557326:0019:LC|19453293:0114:LC|10497213:0096:LC|PDB_2K1R:0114:LC|10557326:0686:LC
O00253	P32245	181	4160	AGRP	MC4R	10318826:0096:LC|12815165:0493:LC|12815165:0096:LC|10318826:0492:LC|10318826:0493:LC|11747427:0492:LC|11747427:0493:LC|12815165:0492:LC
O00253	P41968	181	4159	AGRP	MC3R	11747427:0024:LC|11747427:0492:LC|9893984:0492:LC
O00254	P57087	2151	58494	F2RL2	JAM2	12953056:0024:LC|12953056:0492:LC|12953056:0493:LC|17057644:0493:LC|17057644:0492:LC
O00254	Q9BX67	2151	83700	F2RL2	JAM3	12953056:0024:LC|12953056:0492:LC|12953056:0493:LC|17057644:0493:LC|17057644:0492:LC
O00255	O00255	4221	4221	MEN1	MEN1	22327296:0114:LC|22327296:0018:LC
O00255	P17535	4221	3727	MEN1	JUND	10500243:0096:LC|22327296:0004:LC|12509449:0018:LC|12226747:0024:LC|9989505:0004:LC|9989505:0018:LC|12226747:0492:LC|9989505:0024:LC|9989505:0493:LC|22327296:0007:LC|9989505:0492:LC|22327296:0096:LC|9989505:0096:LC|10500243:0004:LC|22327296:0065:LC|10500243:0018:LC|10500243:0045:LC|12226747:0493:LC|22327296:0114:LC
O00255	Q03164	4221	4297	MEN1	KMT2A	22936661:0114:LC|22327296:0071:LC|22327296:0096:LC|15199122:0006:LC|22327296:0004:LC|22327296:0114:LC|15199122:0401:LC|15199122:0493:LC|22327296:0007:LC|22327296:0065:LC|15199122:0004:LC
O00255	Q04206	4221	5970	MEN1	RELA	11526476:0096:LC|11526476:0493:LC|11526476:0004:LC|14508515:0493:LC|11526476:0019:LC|11526476:0006:LC
O00257	O00257	8535	8535	CBX4	CBX4	26807715:0114:LC
