Uniprot_A	Uniprot_B	Alt_A	Alt_B	Gene_A	Gene_B	pmid:method:quality
B4DG68	Q9UNE7		10273	B4DG68	STUB1	20729196:0415:LC|15466472:0004:LC|15466472:0415:LC
B4DIR9	O43318		6885	B4DIR9	MAP3K7	18180283:0018:LC|18180283:0493:LC|11259596:0018:LC|11259596:0493:LC
B4DJ51	O15554		3783	HEL-S-72	KCNN4	10026195:0018:LC|10026195:0492:LC|10026195:0401:LC|10026195:0096:LC|10026195:0493:LC|10880439:0049:LC
B4DJ51	O43525		3786	HEL-S-72	KCNQ3	12223552:0493:LC|12223552:0492:LC|12032157:0492:LC|12032157:0493:LC|12032157:0018:LC|12223552:0018:LC
B4DJ51	O95259		3756	HEL-S-72	KCNH1	10880439:0096:LC|20708613:0052:LC|10880439:0049:LC|20708613:0405:LC
B4DJ51	P00533		1956	HEL-S-72	EGFR	20029029:0112:LC|14960328:0006:LC|14960328:0004:LC|14960328:0019:LC
B4DJ51	P01116		3845	HEL-S-72	KRAS	11585916:0492:LC|11585916:0096:LC|12727204:0492:LC|12727204:0493:LC|12727204:0018:LC|11585916:0004:LC|12727204:0096:LC|11585916:0018:LC|11585916:0493:LC
B4DJ51	P11233		5898	HEL-S-72	RALA	12034722:0018:LC|12034722:0019:LC|9188503:0492:LC|12034722:0096:LC|9188503:0493:LC|9188503:0018:LC
B4DJ51	P14416		1813	HEL-S-72	DRD2	19632986:0012:LC|16051151:0405:LC|19632986:0663:LC|16051151:0004:LC
B4DJ51	P43405		6850	HEL-S-72	SYK	3350007:0415:LC|3472906:0415:LC
B4DJ51	Q13936		775	HEL-S-72	CACNA1C	16338416:0114:LC|16338416:0071:LC|20953164:0065:LC|20953164:0096:LC|20953164:0028:LC|19279214:0114:LC|20953164:0114:LC|19279214:0071:LC
B4DJ51	Q14524		6331	HEL-S-72	SCN5A	11807557:0686:LC|21167176:0077:LC|11807557:0018:LC
B4DJ51	Q15051		9657	HEL-S-72	IQCB1	21602787:0018:LC|15723066:0493:LC|15723066:0018:LC|15723066:0004:LC
B4DJ51	Q9HD67		4651	HEL-S-72	MYO10	18570893:0096:LC|11278607:0493:LC|18570893:0017:LC|11278607:0004:LC|11278607:0018:LC
B4DJ51	Q9Y283		27130	HEL-S-72	INVS	21602787:0018:LC|15723066:0018:LC
B4DL80	O95997		9232	B4DL80	PTTG1	22193957:0004:LC|22193957:0415:LC|20080579:0415:LC
B4DL80	P14635		891	B4DL80	CCNB1	20080579:0415:LC|19826003:0415:LC|22193957:0415:LC
B4DL80	P20248		890	B4DL80	CCNA2	19483727:0415:LC|19826003:0415:LC
B4DT73	O15151		4194	B4DT73	MDM4	16511572:0415:LC|16163388:0415:LC
B4DT73	P04637		7157	B4DT73	TP53	10673501:0415:LC|12756247:0415:LC
B4DT73	P30304		993	B4DT73	CDC25A	9278511:0415:LC|18480045:0415:LC|9278511:0096:LC|12759351:0415:LC|12399544:0415:LC
B4DT73	P30307		995	B4DT73	CDC25C	9278511:0096:LC|16705183:0415:LC|17035231:0415:LC|9278511:0415:LC|15705874:0415:LC
B4DUR3	Q13111		10036	B4DUR3	CHAF1A	12697822:0004:LC|15327775:0004:LC|12697822:0018:LC|15327775:0018:LC
